question1,question2
A 300 V battery is connected across capacitors of and in parallel. Calculate the charge and energy stored in each capacitor.,What is the charge and energy stored in each capacitor when a 300 V battery is connected across capacitors of and in parallel?
Explain about the bore hole and bore hole problems during site investigation?,Describe the bore hole and any issues that may arise during a site investigation.
Define semantic networks. Explain how the knowledge is represented in semantic networks with examples,"What are semantic networks? Describe how knowledge is depicted in semantic networks, including specific examples."
Differentiate between pipe flow and open channel flow. Derive Hagen-Poiseulli’s equation for the drop in pressure head for laminar flow through circular pipes.,What is the difference between pipe flow and open channel flow? How can Hagen-Poiseulli's equation be used to calculate the decrease in pressure head for laminar flow through round pipes?
"Describe the following types of intersection with neat sketches and the traffic flow arrangement: Full Clover Leaf, Trumpet and Diamond intersections","Draw pictures of a Full Clover Leaf, Trumpet, and Diamond intersection and explain the traffic flow arrangements for each."
What are Electrophile and Nucleophiles? Write the product and mechanism of the following chemical reactions.,Can you explain the concept of Electrophiles and Nucleophiles and provide the product and mechanism for the following chemical reactions?
Explain briefly the concept of AVL trees? Explain how you can restore the balance property of AVL tree when inserting/deleting a node violates its property. Illustrate with examples.,Briefly describe what an AVL tree is and how to maintain its balance when inserting or deleting a node. Provide examples to illustrate your explanation.
Explain different types of addressing modes with examples.,Describe various addressing modes and provide examples of each.
What is pre-emphasis and de-emphasis filter? What is figure of merit also compare different analog modulation scheme according to its figure of merit.,"What is the purpose of pre-emphasis and de-emphasis filters? What is the figure of merit, and how does it compare across different analog modulation schemes?"
What is acoustical treatment?,How can sound be treated acoustically?
Design a square spread footing to carry a column load of 1500 KN from a 40 cm square tied column containing 20 mm bras as the longitudinal steel. The bearing capacity of soil is 90 KN/m2. Consider the base of footing is 1.2 m below the ground level. Take unit wt. of soil 19 KN/m3,"What dimensions should be used to create a square spread footing to support a 40 cm square tied column containing 20 mm brass reinforcement, which will carry a load of 1500 KN? The soil's bearing capacity is 90 KN/m2 and the footing should be placed 1.2 m below the ground level, with a unit weight of 19 KN/m3."
